source_index,proposition_id,house,type,number,year,title,old_severity,old_structural_type,old_assessments,issues,action,proposed
0,alrs:pl-77-2025,alrs,pl,77,2025,Ampliação de mecanismos de proteção a vítimas com medidas protetivas de urgência,4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
1,alrs:pl-134-2023,alrs,pl,134,2023,Selo Tolerância Zero com Assédio no comércio gaúcho,2,symbolic,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}, {""group"": ""trabalhadores_informais"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.85}]",JUDGMENT_MISMATCH_WITH_CORRECTED_MATRIX,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|134|2023"", ""severity"": 2, ""structural_type"": ""symbolic"", ""assessments"": [{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]}"
2,alrs:pl-165-2025,alrs,pl,165,2025,Sistema de inteligência preditiva de monitoramento de agressores reincidentes,4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",WRONG_SEVERITY:4->3,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|165|2025"", ""severity"": 3, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]}"
3,alrs:pl-361-2025,alrs,pl,361,2025,Reserva de 5% de vagas em contratos terceirizados para mulheres vítimas de violência,3,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",WRONG_SEVERITY:3->4,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|361|2025"", ""severity"": 4, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.99}]}"
4,alrs:pl-38-2026,alrs,pl,38,2026,"Reajuste de 5,4% no subsídio do magistério (texto original)",4,budgetary,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:servidores_publicos | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
5,alrs:pec-305-2026,alrs,pec,305,2026,Data-base revisão anual do funcionalismo (admissibilidade CCJ),5,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",INVALID_TAXONOMY_GROUP:servidores_publicos | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
6,camara:plp-230-2025,camara,plp,230,2025,Inclusão digital e conectividade em escolas públicas e periferias (FUST),3,structural,"[{""group"": ""criancas_adolescentes_vulnerabilidade"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",JUDGMENT_MISMATCH_WITH_CORRECTED_MATRIX | WRONG_SEVERITY:3->2 | WRONG_STRUCTURAL_TYPE:structural->budgetary,KEEP_CORRECTED,"{""canonical_key"": ""camara|plp|230|2025"", ""severity"": 2, ""structural_type"": ""budgetary"", ""assessments"": [{""group"": ""pessoas_com_deficiencia"", ""impact_direction"": ""unclear"", ""defending_vote"": null, ""confidence"": 0.55}]}"
7,camara:plp-41-2024,camara,plp,41,2024,Política Nacional de Prevenção e Enfrentamento da Violência contra Mulheres e Feminicídio,4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.99}]",WRONG_SEVERITY:4->5,KEEP_CORRECTED,"{""canonical_key"": ""camara|plp|41|2026"", ""severity"": 5, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.99}]}"
8,alrs:pl-510-2025,alrs,pl,510,2025,Consolidação e ampliação da legislação relativa a mulheres vítimas de violência no RS,4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
9,alrs:pl-125-2021,alrs,pl,125,2021,Criação do Programa Estadual de Defesa Pessoal para Mulheres RS POR ELAS,3,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",NO_JUDGMENT_ERROR_DETECTED,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|125|2021"", ""severity"": 3, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]}"
